Case_Name,P,Q,V,xi,Branch_Type,Branch_ID,R,L,C
Case_1,-1.0,0.0,1.0,5.729577951308233,RC_Parallel,Parallel,5.007868164286726e+16,,2.5188297874324584e-24
Case_1,-1.0,0.0,1.0,5.729577951308233,RL_Series,a,-76.12830564629093,-0.030956329649094238,
Case_1,-1.0,0.0,1.0,5.729577951308233,RL_Series,b,-108.08472741372742,-0.43062014523845216,
Case_1,-1.0,0.0,1.0,5.729577951308233,RL_Series,c,1.394070422083972,0.029985849122832642,
Case_1,-1.0,0.0,1.0,5.729577951308233,RL_Series,d,106.885611753267,7.196917347431096,
Case_1,-1.0,0.0,1.0,5.729577951308233,RL_Series,e,1655.3121901751988,134.59060867185298,
Case_1,-1.0,0.0,1.0,5.729577951308233,RL_Series,f,-61.85836944922331,-6.076939839886766,
Case_2,-0.8,1.0,1.0,5.729577951308233,RC_Parallel,Parallel,4.360270516778341e+17,,-5.486264643726336e-23
Case_2,-0.8,1.0,1.0,5.729577951308233,RL_Series,a,-75.42271419892681,-0.033632240219272934,
Case_2,-0.8,1.0,1.0,5.729577951308233,RL_Series,b,-7.897674737786923,-0.056389474482468976,
Case_2,-0.8,1.0,1.0,5.729577951308233,RL_Series,c,1.5538658273730963,0.02839551484292235,
Case_2,-0.8,1.0,1.0,5.729577951308233,RL_Series,d,122.45189850725642,8.189853127207009,
Case_2,-0.8,1.0,1.0,5.729577951308233,RL_Series,e,-1906.5368581766934,-126.72397081124234,
Case_2,-0.8,1.0,1.0,5.729577951308233,RL_Series,f,-75.22835822472598,-7.3857241719878255,
Case_3,-0.8,-1.0,1.0,-5.729577951308233,RC_Parallel,Parallel,4.360270516778341e+17,,-5.486264643726336e-23
Case_3,-0.8,-1.0,1.0,-5.729577951308233,RL_Series,a,-75.356300624406,-0.033949843401125654,
Case_3,-0.8,-1.0,1.0,-5.729577951308233,RL_Series,b,-7.194050544149211,-0.02753524236099061,
Case_3,-0.8,-1.0,1.0,-5.729577951308233,RL_Series,c,1.5502975800772942,0.028408441396530277,
Case_3,-0.8,-1.0,1.0,-5.729577951308233,RL_Series,d,122.6796999584811,8.204729375419484,
Case_3,-0.8,-1.0,1.0,-5.729577951308233,RL_Series,e,-1719.6478171303675,-130.59919172448616,
Case_3,-0.8,-1.0,1.0,-5.729577951308233,RL_Series,f,-75.23305378145831,-7.388212253917123,
